algorithm,units,dropout_rate,learning_rate,epochs,batch_size,train_accuracy,test_accuracy,train_precision_macro,test_precision_macro,train_recall_macro,test_recall_macro,train_f1_macro,test_f1_macro,train_precision_weighted,test_precision_weighted,train_recall_weighted,test_recall_weighted,train_f1_weighted,test_f1_weighted,training_time_seconds,train_prediction_time_seconds,test_prediction_time_seconds
ann,128,0.2,0.001,20,32,0.97,0.7417218543046358,0.9798928423726811,0.6826657743965436,0.9551730684617196,0.6516015754376079,0.9648371057677158,0.6524079117046497,0.9712399609575012,0.7212230631767056,0.97,0.7417218543046358,0.9695942478051671,0.7187212308111705,5.8212058544158936,0.12327289581298828,0.05276632308959961
ann,128,0.2,0.001,20,64,0.9683333333333334,0.7417218543046358,0.983293399543044,0.7224889876205665,0.9540127140962369,0.6399483051810987,0.9661964198568272,0.6506941238033674,0.9699988985297843,0.7495832321119879,0.9683333333333334,0.7417218543046358,0.9680786214969181,0.7211886078934886,3.9628608226776123,0.11083006858825684,0.046729087829589844
ann,128,0.2,0.001,50,32,0.9683333333333334,0.7417218543046358,0.9791129965512284,0.7082806082806082,0.9578479813930427,0.6730599303979871,0.9660507205783737,0.6714664786609299,0.9692181933911082,0.7348747646760893,0.9683333333333334,0.7417218543046358,0.9679454867209633,0.7262695725489067,14.48508906364441,0.1275162696838379,0.047783851623535156
ann,128,0.2,0.001,50,64,0.965,0.7483443708609272,0.9781634256019078,0.7306290931290931,0.9516592982812827,0.6524048657145822,0.9621947947027162,0.6687475552052151,0.9666838037634409,0.7545394818573625,0.965,0.7483443708609272,0.9646717936428079,0.7317078020122152,10.369411945343018,0.11512207984924316,0.0480649471282959
ann,128,0.2,0.01,20,32,0.9633333333333334,0.6887417218543046,0.9750450782139366,0.66844966119853,0.9468761680517239,0.6142179907362094,0.9578670675463593,0.6144231691865963,0.966045367094603,0.7128118135597683,0.9633333333333334,0.6887417218543046,0.963291657665946,0.6837926785683429,7.2156901359558105,0.1336970329284668,0.0487821102142334
ann,128,0.2,0.01,20,64,0.97,0.7417218543046358,0.9811498529797841,0.6663492063492064,0.9606972044803611,0.6633370284686074,0.9685719225935441,0.6510256249003569,0.9714908441700838,0.722839272574372,0.97,0.7417218543046358,0.9696946021984553,0.7189739681651189,4.080737113952637,0.12337803840637207,0.047430992126464844
ann,128,0.2,0.01,50,32,0.9583333333333334,0.6556291390728477,0.9687148780886818,0.6170648795648795,0.955468287335235,0.6177781114522005,0.9592310022111584,0.5961704321864242,0.960958817886894,0.6865860592681784,0.9583333333333334,0.6556291390728477,0.958296630623913,0.648982428947771,15.900472164154053,0.15204286575317383,0.053781986236572266
ann,128,0.2,0.01,50,64,0.97,0.7086092715231788,0.979411746205848,0.6959230584230583,0.9623102659034042,0.6156367249484658,0.9684477839769332,0.6298896279159437,0.971198518510099,0.7304210506197261,0.97,0.7086092715231788,0.9697146212944443,0.7005684741655462,10.522120952606201,0.13856101036071777,0.05111408233642578
ann,128,0.3,0.001,20,32,0.9716666666666667,0.7417218543046358,0.9776033206277357,0.7028517332668425,0.962121485666547,0.6642302254650433,0.9675954795890027,0.6630840858752265,0.9725020592087125,0.7440373392559162,0.9716666666666667,0.7417218543046358,0.9713366465447308,0.7278685352127625,6.51213002204895,0.12688183784484863,0.05129885673522949
ann,128,0.3,0.001,20,64,0.97,0.7483443708609272,0.9814780249706719,0.7178166182476529,0.9572733986870497,0.6572888705985872,0.9667750060042517,0.6632769729102189,0.9718444852941176,0.7491473555243822,0.97,0.7483443708609272,0.9697068538552633,0.7291454246736883,4.80992317199707,0.13941097259521484,0.05651497840881348
ann,128,0.3,0.001,50,32,0.9683333333333334,0.7218543046357616,0.9811291299580887,0.6738083497698882,0.9598511865212479,0.6493483462106944,0.9682543015825366,0.6442455770628345,0.9694087284816254,0.7151228278711722,0.9683333333333334,0.7218543046357616,0.9680257132531328,0.7033562281042975,15.398208141326904,0.14872503280639648,0.057038068771362305
ann,128,0.3,0.001,50,64,0.9633333333333334,0.7218543046357616,0.9770636996680617,0.7265413797671862,0.9552522716659227,0.6412230650590975,0.9636882683121204,0.6605016112303285,0.9644507283197832,0.7414961252282337,0.9633333333333334,0.7218543046357616,0.9629588200008676,0.710959575963064,9.586942911148071,0.10846304893493652,0.047267913818359375
ann,128,0.3,0.01,20,32,0.965,0.7350993377483444,0.9735662702157418,0.6914776462853387,0.9588521855222468,0.649613432002096,0.9640006791800417,0.6454800744728149,0.9658521916028663,0.7385775740080376,0.965,0.7350993377483444,0.9646812066112347,0.7176795292049316,5.886056184768677,0.10843491554260254,0.04393911361694336
ann,128,0.3,0.01,20,64,0.9716666666666667,0.7483443708609272,0.9804928824972043,0.7003876824929457,0.9639028091626141,0.6612354975209226,0.9699317663157776,0.6604527260070246,0.9726387390556598,0.7525604247423697,0.9716666666666667,0.7483443708609272,0.9712779388442838,0.734241141925209,3.981961965560913,0.11783909797668457,0.05018210411071777
ann,128,0.3,0.01,50,32,0.9633333333333334,0.6887417218543046,0.9778679081907105,0.6745597957757212,0.9495812823742438,0.6074085608498565,0.9609338360992068,0.6223640257508728,0.9657463335275834,0.7030129577271065,0.9633333333333334,0.6887417218543046,0.9632445110456643,0.6737024073915916,14.189403295516968,0.11347675323486328,0.04640316963195801
ann,128,0.3,0.01,50,64,0.965,0.7350993377483444,0.9808838647474564,0.7160937353245047,0.9522943884997062,0.654806703642736,0.9637997448705733,0.6636647580146033,0.966908114964886,0.74132240092505,0.965,0.7350993377483444,0.9646109855548932,0.7223949703979639,9.178444147109985,0.10783624649047852,0.04265189170837402
ann,256,0.2,0.001,20,32,0.9683333333333334,0.7152317880794702,0.9793042138970082,0.7049755799755801,0.9598758532125812,0.6380179368539692,0.9672381958081055,0.6457861251009279,0.9695868338739573,0.7325239146431199,0.9683333333333334,0.7152317880794702,0.9679812603599989,0.7017634970442583,10.277465105056763,0.15810298919677734,0.05791497230529785
ann,256,0.2,0.001,20,64,0.965,0.7417218543046358,0.9772494923474165,0.7230619380619381,0.9536874784344628,0.6613294206917689,0.962722546846176,0.6695361345469549,0.9662367190352406,0.7472436761178483,0.965,0.7417218543046358,0.9645455692382868,0.7277939384797331,7.3979268074035645,0.14084410667419434,0.051954030990600586
ann,256,0.2,0.001,50,32,0.97,0.7218543046357616,0.9785299003692557,0.6855769230769231,0.9610531095981709,0.649613432002096,0.9675896312593533,0.6458295989044216,0.9706994989451476,0.7178623988226637,0.97,0.7218543046357616,0.969695785946851,0.7041228973519682,27.80843186378479,0.18385815620422363,0.06332087516784668
ann,256,0.2,0.001,50,64,0.97,0.7284768211920529,0.9804226301436295,0.7132728382728384,0.9578669409472588,0.6435124423484747,0.9666182525832863,0.6518568894290063,0.9713791415662651,0.7371921676557438,0.97,0.7284768211920529,0.9696500373145278,0.7127504938470357,18.022228956222534,0.14321112632751465,0.05373191833496094
ann,256,0.2,0.01,20,32,0.965,0.7549668874172185,0.9686627220318081,0.6759148618988436,0.9518120420237701,0.665397468029047,0.9582202970925777,0.6576153390350222,0.9660465514493591,0.7411790400098702,0.965,0.7549668874172185,0.9647298027049421,0.7363363149640906,9.906774044036865,0.1547229290008545,0.05351614952087402
ann,256,0.2,0.01,20,64,0.9683333333333334,0.7152317880794702,0.9783882692837065,0.6231172673480366,0.9591240972524919,0.6414078218228016,0.9663629456746995,0.6187253301251234,0.9695858590387375,0.6842631614154793,0.9683333333333334,0.7152317880794702,0.967976418765931,0.6909920528417396,7.300917863845825,0.1446681022644043,0.05338907241821289
ann,256,0.2,0.01,50,32,0.9566666666666667,0.7086092715231788,0.9702596676929114,0.6274613050348344,0.9462637708504988,0.5814937985990617,0.9555419716952186,0.5830396130631247,0.9582696631711756,0.7024835210022199,0.9566666666666667,0.7086092715231788,0.9559916697776764,0.6855594742828578,24.393022060394287,0.16193008422851562,0.06166696548461914
ann,256,0.2,0.01,50,64,0.9666666666666667,0.695364238410596,0.9750417674068419,0.6627594627594627,0.9593881079331693,0.6257452062107932,0.9647931071594823,0.6263401864242201,0.9678906631973164,0.6936718175128771,0.9666666666666667,0.695364238410596,0.9665056206185557,0.6803280734328649,19.001859188079834,0.22067880630493164,0.07901692390441895
ann,256,0.3,0.001,20,32,0.9733333333333334,0.7417218543046358,0.9834655508544882,0.6844627594627594,0.9633092669024053,0.6482036575660057,0.9710849565534793,0.650802979666995,0.9743746975416182,0.7258674364634629,0.9733333333333334,0.7417218543046358,0.9729837252983916,0.7212410896170354,11.097387075424194,0.21962809562683105,0.08107995986938477
ann,256,0.3,0.001,20,64,0.965,0.7284768211920529,0.9786880331709373,0.7146742146742148,0.9557517721654233,0.6364876688763329,0.9646884503400519,0.6521825496359211,0.9663791415662651,0.7377918255401699,0.965,0.7284768211920529,0.9646458078669993,0.7119346298011723,8.672938346862793,0.15778779983520508,0.055169105529785156
ann,256,0.3,0.001,50,32,0.9733333333333334,0.7549668874172185,0.9821540721214355,0.7165903540903541,0.9630319000384998,0.6667114655474979,0.9703554921573502,0.6680836448797915,0.9742892739166147,0.7542809839167455,0.9733333333333334,0.7549668874172185,0.9730201231295795,0.7364863078371189,26.075388193130493,0.23914098739624023,0.08507990837097168
ann,256,0.3,0.001,50,64,0.97,0.7284768211920529,0.9782388803585249,0.66981030407501,0.9610531095981709,0.6480470159619958,0.9674360064162875,0.6449371806573831,0.9707229166666665,0.7031608111837953,0.97,0.7284768211920529,0.9696842889897018,0.7057438856660451,19.86114501953125,0.20400500297546387,0.07793807983398438
ann,256,0.3,0.01,20,32,0.965,0.7086092715231788,0.964791616300605,0.6790076151918257,0.9537548522999136,0.6538467717617515,0.9561388664333184,0.6422706558796155,0.9671252649503391,0.7232839272574372,0.965,0.7086092715231788,0.9648786781357113,0.6998105860184756,9.678442001342773,0.15192794799804688,0.0527348518371582
ann,256,0.3,0.01,20,64,0.965,0.7284768211920529,0.9756142522944681,0.6942753827369212,0.9569209665580609,0.6508384496744821,0.9637940538350992,0.6508442537854303,0.9665412166062386,0.7297135903096168,0.965,0.7284768211920529,0.9647505959440985,0.7129380682945156,7.199728727340698,0.13845109939575195,0.05129098892211914
ann,256,0.3,0.01,50,32,0.9583333333333334,0.6622516556291391,0.9590281499822498,0.6213904685058531,0.9468255843111071,0.6199374175082677,0.949098187161307,0.595076962511173,0.9620238386082551,0.6840692971487673,0.9583333333333334,0.6622516556291391,0.9584001546023478,0.6484637806134843,23.278971910476685,0.1959819793701172,0.061419010162353516
ann,256,0.3,0.01,50,64,0.97,0.7218543046357616,0.9780266760741326,0.6933727504379679,0.9584993637408536,0.641601538362672,0.9656724740504956,0.629371831679524,0.9711613526034897,0.7524121453937176,0.97,0.7218543046357616,0.9695415610764642,0.7039128598068995,16.96045422554016,0.14319896697998047,0.0589749813079834
